Full Name,First Name,Last Name,Job Title,Primary Company,Ticker
Florian Joergensen,Florian,Joergensen,Unknown,Unknown,Unknown
Reinhard Robertson,Reinhard,Robertson,Unknown,Unknown,Unknown
Thomas Bhagat,Thomas,Bhagat,Unknown,Unknown,Unknown
Apirat Srivastav,Apirat,Srivastav,Unknown,Unknown,Unknown
Akira Pottmeyer,Akira,Pottmeyer,Unknown,Unknown,Unknown
Xiaoqiu Chriss,Xiaoqiu,Chriss,Unknown,Unknown,Unknown
Houliang Miebach,Houliang,Miebach,Unknown,Unknown,Unknown
Nan Patusky,Nan,Patusky,Unknown,Unknown,Unknown
Apirat Vachris,Apirat,Vachris,Unknown,Unknown,Unknown
Koji Carroll,Koji,Carroll,Unknown,Unknown,Unknown
Kazuhiro van den Broek,Kazuhiro,van den Broek,Unknown,Unknown,Unknown
Nan McKay,Nan,McKay,Unknown,Unknown,Unknown
René Li,René,Li,Unknown,Unknown,Unknown
Kazuhiro Jung,Kazuhiro,Jung,Unknown,Unknown,Unknown
Warren McNamara,Warren,McNamara,Unknown,Unknown,Unknown
Koji Florey,Koji,Florey,Unknown,Unknown,Unknown
Xiliang Ferris,Xiliang,Ferris,Unknown,Unknown,Unknown
Michelle Sato,Michelle,Sato,Unknown,Unknown,Unknown
Patrick Taneja,Patrick,Taneja,Unknown,Unknown,Unknown
Haifeng Tsuga,Haifeng,Tsuga,Unknown,Unknown,Unknown
Jörg Bhagat,Jörg,Bhagat,Unknown,Unknown,Unknown
Apirat Tsai,Apirat,Tsai,Unknown,Unknown,Unknown
Jörg Omarbekov,Jörg,Omarbekov,Unknown,Unknown,Unknown
Jensen Fukunaga,Jensen,Fukunaga,Unknown,Unknown,Unknown
Jack Agon,Jack,Agon,Unknown,Unknown,Unknown
Christian Jung,Christian,Jung,Unknown,Unknown,Unknown
Michael van den Broek,Michael,van den Broek,Unknown,Unknown,Unknown
Jack Agon,Jack,Agon,Unknown,Unknown,Unknown
Reinhard Carroll,Reinhard,Carroll,Unknown,Unknown,Unknown
Manuel Xiang-yang,Manuel,Xiang-yang,Unknown,Unknown,Unknown
Jensen Omarbekov,Jensen,Omarbekov,Unknown,Unknown,Unknown
Manuel Mucci,Manuel,Mucci,Unknown,Unknown,Unknown
Pietro Carlo Iwai,Pietro Carlo,Iwai,Unknown,Unknown,Unknown
Takeshi Carroll,Takeshi,Carroll,Unknown,Unknown,Unknown
Cristiano Vörös,Cristiano,Vörös,Unknown,Unknown,Unknown
Robin Hermelingmeier,Robin,Hermelingmeier,Unknown,Unknown,Unknown
Stephen Manowitz,Stephen,Manowitz,Unknown,Unknown,Unknown
Jörg Tsai,Jörg,Tsai,Unknown,Unknown,Unknown
