Full Name,First Name,Last Name,Job Title,Primary Company,Ticker
Helene Huber,Helene,Huber,Non-Executive Member of the Board of Directors and Mitglied des Verwaltungsrats,CasaInvest Rheintal AG,
Federico Zardi,Federico,Zardi,Chief Executive Officer and CEO,Casale Holding,
Philippe Milliet,Philippe,Milliet,Non-Executive Chairman of the Board of Directors,Cendres+Métaux Holdg. SA,
Daniel Furrer,Daniel,Furrer,Non-Executive Member of the Board of Directors and Mitglied des Verwaltungsrats,CKW,
Alex Waser,Alex,Waser,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Reishauer Gruppe,
Daniel Heller,Daniel,Heller,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Clientis Bank Aareland,
Thomas Fluri,Thomas,Fluri,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Clientis Bank im Thal,
Werner Meyer,Werner,Meyer,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Clientis Bank Oberaargau,
Barbara Lorenz,Barbara,Lorenz,Non-Executive Chairman of the Board of Directors and Präsidentin des Verwaltungsrats,Clientis Bank Oberuzwil AG,
Ulrich Weber,Ulrich,Weber,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Clientis Bank Toggenburg,
Benno Wicki,Benno,Wicki,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Clientis EB Entlebucher Bank,
Sandra Lüscher-Ott,Sandra,Lüscher-Ott,Non-Executive Chairman of the Board of Directors and Präsidentin des Verwaltungsrats,Clientis Sparkasse Oftringen,
Franco Tramèr,Franco,Tramèr,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Corvatsch AG,
Charles Fontannaz,Charles,Fontannaz,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Crédit Mutuel de la Vallée,
Reto Branschi,Reto,Branschi,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Davos Klosters Bergbahnen,
Franco Tramèr,Franco,Tramèr,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Diavolezza Lagalb,
Amédée Murisier,Amédée,Murisier,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Energie Electrique du Simplon SA,
Martin Roth,Martin,Roth,Non-Executive Member of the Board of Directors and Mitglied des Verwaltungsrats,Energie Zürichsee Linth N,
Marcel Bührer,Marcel,Bührer,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Engadin Mountains AG,
Beat Huber,Beat,Huber,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Eniwa Holding AG,
Rolf Enggist,Rolf,Enggist,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Ersparniskasse Affoltern,
Andreas Bihrer,Andreas,Bihrer,Non-Executive Member of the Board of Directors and Mitglied des Verwaltungsrats,ESGTI AG,
Nina Strapp-Aemissegger,Nina,Strapp-Aemissegger,Chief Executive Officer and CEO and Geschäftsführerin,Eskimo Textil AG,
Andreas Hauswirth,Andreas,Hauswirth,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Espace Real Estate Holding AG,
Renato Kronig,Renato,Kronig,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,EW Brig-Naters EWBN,
Patrick Sommer,Patrick,Sommer,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,EW Jona-Rapperswil,
Roland Gmür,Roland,Gmür,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,EW Uznach AG,
Daniel Zihlmann,Daniel,Zihlmann,Chief Executive Officer and CEO and Geschäftsführer,Gondelbahn Grindelwald,
Roberto Fraschina,Roberto,Fraschina,Non-Executive Member of the Board of Directors and Mitglied des Verwaltungsrats,Funi Lugano-Paradiso,
Andreas Kaufmann,Andreas,Kaufmann,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Gondelbahn Grindelwald,
Walter Strässle,Walter,Strässle,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Griesser Holding AG,
Norbert Albin,Norbert Albin,Norbert Albin,Non-Executive Chairman of the Board of Directors and Präsident des Verwaltungsrats,Griston Holding AG,
René Schmied,René,Schmied,Chief Executive Officer and Vorsitzender der Geschäftsleitung,Gurtenbahn AG,
Urs Kessler,Urs,Kessler,Chief Executive Officer and Vorsitzender der Geschäftsleitung,Harderbahn,
Thibault Leroy Bürki,Thibault Leroy,Bürki,Chief Executive Officer and CEO,Haute Capital Partners,
Harald Ortner,Harald Ortner,Harald Ortner,Chief Executive Officer and CEO and Geschäftsführer,HBB Holding AG,
Margrit Koch,Margrit,Koch,Chief Executive Officer and CEO and Geschäftsführerin,Obwaldner Kantonalbank,
Marianne Pfändler,Marianne,Pfändler,Chief Executive Officer and CEO and Geschäftsführerin,Hoher Kasten Drehrestaurant und Seilbahn AG,
Stephan Keller,Stephan,Keller,Chief Executive Officer and CEO and Geschäftsführer,Imbrex Holding AG,
Sandra Bütler,Sandra,Bütler,Chief Executive Officer and CEO and Geschäftsführerin,Pilatus Bahnen,
Jonas Siepmann,Jonas,Siepmann,Chief Executive Officer and CEO and Geschäftsführer,Kursaal Interlaken ,
Heinrich Leuthard,Heinrich,Leuthard,Chief Executive Officer and Vorsitzender der Geschäftsleitung,Nidwaldner Kantonalbank,
Roger Kunz,Roger,Kunz,Chief Executive Officer and CEO and Geschäftsführer,Klosters-Madrisa,
Petra Blum,Petra,Blum,Chief Executive Officer and CEO and Geschäftsführerin,Konkordia AG,
Felix Merz,Felix,Merz,Chief Executive Officer and CEO and Geschäftsführer,Kronberg,
Kevin Kunz,Kevin,Kunz,Chief Executive Officer and CEO and Geschäftsführer,Kursaal Bern AG,
Michel Losey,Michel,Losey,Chief Executive Officer and CEO and Geschäftsführer,Landwirtschaft ZRA,
Joachim Moser,Joachim,Moser,Leiter Personalwesen,Lorze AG,
Corinna Odermatt,Corinna,Odermatt,Stv. Geschäftsleitung,LSB Dallenwil-Wirzweli,
Roland Rhyn,Roland,Rhyn,Stv. Direktor and Leiter Finanzen/Services,Appenzeller Bahnen AG,
Andrej Knechtle,Andrej,Knechtle,Chief Financial Officer,Menzi Muck Gruppe,
Christian Arnold,Christian,Arnold,Chief Financial Officer,Neue Zürcher Zeitung,
Mattia Piccoli,Mattia,Piccoli,Chief Marketing Officer,Nexus,
Anasse Gouchi,Anasse,Gouchi,Chief Marketing Officer,Casino de Montreux SA,
Markus Pfyl,Markus,Pfyl,Technischer Leiter,Hoch-Ybrig,
Markus Bucher,Markus,Bucher,Leiter Finanzen & Services and Beauftragter für Gesundheitsschutz,Patiswiss AG,
Werner Schnorf,Werner,Schnorf,Managing Director and Co-Head of Private Equity,Patrimonium Urban Opportunity AG,
Susana Godinho,Susana,Godinho,Sales Director,Swisstulle AG,
Raphael Bühlmann,Raphael,Bühlmann,Chief Financial Officer,Lurag AG,
Ueli Amstad,Ueli,Amstad,Chief Financial Officer,Outdoor Switzerland AG,
Silke Bader,Silke,Bader,Leiterin Finanz- und Rechnungswesen,Schützen Rheinfelden Immobilie,
Marc Spring,Marc,Spring,Leiter HR,Schweizer Zucker AG,
Marc Riggenbach,Marc,Riggenbach,CFO and Stv. Direktor,Zoologischer Garten AG,
Marybel Defillo,Marybel,Defillo,Chief Financial Officer,sitEX Properties Hldg,
Pascal Hoorn,Pascal,Hoorn,Chief Financial Officer,SwissShrimp AG,
Sonja Heller,Sonja,Heller,Leiter Finanzen and Personal,SWS Medien,
Mira Walther,Mira,Walther,Chief Financial Officer,BLS,
Dieter Bernhardt,Dieter,Bernhardt,Leiter Finanzen,Tonwerk Lausen,
Andreas Strässle,Andreas,Strässle,Chief Financial Officer,Tuwag Immobilien AG,
Visar Behluli,Visar,Behluli,Geschäftsführer Sales,Auto AG Group,
Raphael Savalle,Raphael,Savalle,Chief Financial Officer,Weleda,
Markus Inauen,Markus,Inauen,Chief Financial Officer,Galledia Group,
